exoplanet_name,star_name,M,M_errmin,M_errmax,m,m_errmin,m_errmax,P,P_errmin,P_errmax,a,a_errmin,a_errmax
HAT-P-50 b,HAT-P-50,1.273,0.049,0.115,1.36,0.075,0.075,3.1220109,6.50E-06,6.50E-06,0.0453,0.0014,0.00058
HAT-P-51 b,HAT-P-51,0.976,0.028,0.028,0.309,0.018,0.018,4.2180278,5.90E-06,5.90E-06,0.05069,0.00049,0.00049
HAT-P-52 b,HAT-P-52,0.887,0.027,0.027,0.819,0.03,0.03,2.7535953,9.40E-06,9.40E-06,0.03694,0.00038,0.00038
HAT-P-53 b,HAT-P-53,1.093,0.043,0.043,1.487,0.058,0.059,1.9616241,3.90E-06,3.90E-06,0.03159,0.00052,0.00052
HAT-P-54 b,HAT-P-54,0.645,0.02,0.02,0.76,0.032,0.032,3.799847,1.40E-05,1.40E-05,0.04117,0.00043,0.00043
HAT-P-55 b,HAT-P-55,1.013,0.037,0.037,0.582,0.056,0.056,3.5852467,6.40E-06,6.40E-06,0.04604,0.00056,0.00056
HAT-P-56 b,HAT-P-56,1.42,0.33,0.33,2.31,0.44,0.44,2.79083,5.00E-06,5.00E-06,0.0423,0.00039,0.00039
HAT-P-57 b,HAT-P-57,1.47,0.12,0.12,1.85,1.85,0,2.465295,3.20E-06,3.20E-06,0.0406,0.0011,0.0011
HAT-P-58 b,HAT-P-58,1.031,0.028,0.028,0.372,0.03,0.03,4.013837,2.40E-07,2.40E-07,0.04994,0.00044,0.00044
HAT-P-59 b,HAT-P-59,1,0.022,0.022,1.54,0.067,0.067,4.1419771,1.20E-06,1.20E-06,0.05064,0.00037,0.00037
HAT-P-6 b,HAT-P-6,1.29,0.06,0.06,1.057,0.119,0.119,3.853003,1.40E-06,1.40E-06,0.05235,0.00087,0.00087
HAT-P-60 b,HAT-P-60,1.435,0.012,0.012,0.574,0.038,0.038,4.7947813,2.40E-06,2.40E-06,0.06277,0.00017,0.00017
HAT-P-61 b,HAT-P-61,1.004,0.033,0.033,1.057,0.07,0.07,1.90231289,7.70E-07,7.70E-07,0.0301,0.00034,0.00034
HAT-P-62 b,HAT-P-62,1.023,0.02,0.02,0.761,0.088,0.088,2.6453235,3.90E-06,3.90E-06,0.03772,0.00024,0.00024
HAT-P-63 b,HAT-P-63,0.925,0.023,0.023,0.614,0.024,0.024,3.377728,1.30E-05,1.30E-05,0.04294,0.00035,0.00035
HAT-P-64 b,HAT-P-64,1.298,0.021,0.021,0.58,0.13,0.18,4.007232,1.70E-06,1.70E-06,0.05387,0.0003,0.0003
HAT-P-65 b,HAT-P-65,1.212,0.05,0.05,0.527,0.083,0.083,2.6054552,3.10E-06,3.10E-06,0.03951,0.00054,0.00054
HAT-P-66 b,HAT-P-66,1.255,0.0054,0.107,0.783,0.057,0.057,2.972086,5.70E-06,5.70E-06,0.04363,0.00064,0.00121
HAT-P-67 b,HAT-P-67,1.642,0.072,0.155,0.34,0.19,0.25,4.81010205,3.30E-07,4.30E-07,0.06505,0.00079,0.00273
HAT-P-68 b,HAT-P-68,0.6785,0.0079,0.03,0.724,0.043,0.043,2.29840551,5.20E-07,5.20E-07,0.02996,0.00012,0.00043
HAT-P-69 b,HAT-P-69,1.698,0.025,0.025,3.58,0.58,0.58,4.7869491,2.10E-06,1.80E-06,0.06555,0.00035,0.0007
HAT-P-7 b,HAT-P-7,1.51,0.05,0.04,1.741,0.028,0.028,2.204735471,2.40E-06,2.40E-06,0.0379,0.0004,0.0004
HAT-P-70 b,HAT-P-70,1.89,0.013,0.013,6.78,6.77,0,2.74432452,6.80E-07,7.90E-07,0.04739,0.00106,0.00031
HAT-P-8 b,HAT-P-8,1.28,0.04,0.04,1.34,0.05,0.05,3.0763402,1.50E-06,1.50E-06,0.0449,0.0007,0.0007
HAT-P-9 b,HAT-P-9,1.28,0.13,0.13,0.67,0.08,0.08,3.922814,2.00E-06,2.00E-06,0.053,0.002,0.002
HATS-10 b,HATS-10,1.1,0.054,0.054,0.526,0.081,0.081,3.312846,5.80E-06,5.80E-06,0.0449,0.00074,0.00074
HATS-11 b,HATS-11,1.33,0.09,0.09,0.85,0.12,0.12,3.619188,2.90E-05,2.80E-05,0.0507,0.0012,0.0012
HATS-12 b,HATS-12,1.16,0.04,0.04,2.38,0.087,0.087,3.142702,5.30E-05,5.30E-05,0.0441,0.0005,0.0005
HATS-13 b,HATS-13,0.962,0.029,0.029,0.543,0.072,0.072,3.0440499,2.70E-06,2.70E-06,0.04057,0.00041,0.00041
HATS-14 b,HATS-14,0.967,0.024,0.024,1.071,0.07,0.07,2.7667641,2.70E-06,2.70E-06,0.03815,0.00032,0.00032
HATS-15 b,HATS-15,0.871,0.023,0.023,2.17,0.15,0.15,1.74748753,9.40E-07,9.40E-07,0.02712,0.00023,0.00023
HATS-16 b,HATS-16,0.97,0.035,0.035,3.27,0.19,0.19,2.686502,1.10E-05,1.10E-05,0.03744,0.00045,0.00045
HATS-17 b,HATS-17,1.131,0.03,0.03,1.338,0.065,0.065,16.254611,7.30E-05,7.30E-05,0.1308,0.0012,0.0012
